SZ921jmQRJsQJfmyW6Ep7g,Brian G.,Kory put together some amazing Valentines arrangements for the women in my life and made sure they were all delivered around everyone's varied calendars. I...,5,2019-02-17 10:48:47
SZ921jmQRJsQJfmyW6Ep7g,Whitney O.,Kory is an absolute artist. She has an aesthetic that is unmatched by any other designer in the area. I wanted to find a designer to partner with for a pop...,5,2019-05-09 17:47:21
SZ921jmQRJsQJfmyW6Ep7g,David Z.,Kory helped make my daughter's wedding very special. She listened to the bride's ideas and thoughtfully added her own. Even on the wedding day at the winery...,5,2019-11-07 12:39:40
prdoOLthoOjZXABR1szHYg,Lori B.,My in laws bought me a beautiful arrangement for my birthday. I wasn't familiar with Loudoun D and now I'm happy to know a local florist who does great work!,5,2020-11-25 06:36:59
prdoOLthoOjZXABR1szHYg,Jessica L.,They were so helpful when I needed flowers delivered to a memorial from across the country. I live in California and needed flowers delivered to my aunt's...,5,2020-06-09 04:56:00
prdoOLthoOjZXABR1szHYg,Erica R.,Ordered some flowers last minute for my sister (her dog unfortunately passed). Response was quick and we were able to get the flowers to her the next day (I...,5,2018-12-31 05:36:24
OrauikkxGFBkZ9SXo7bBUQ,Victoria B.,Being on the West Coast I started calling florists at about 2 Eastern.  No one could get my flowers delivered for a very important anniversary - Except Pam...,5,2020-11-05 12:08:34
OrauikkxGFBkZ9SXo7bBUQ,Ben B.,Flowers were as expected.  Delivery was on time.  Rates are very reasonable.  Will use again.,5,2020-09-18 10:12:47
OrauikkxGFBkZ9SXo7bBUQ,Kara N.,"I have ordered a handful of times from J Morris, but this last time was extremely disappointing. I ordered an arrangement of tulips from their website for...",1,2021-03-15 04:34:49
NzdiEprmsKLKyiX2c6jTEA,Stacey S.,I can't say enough good things about Jerry's flowers and Sheila.  Holly Heider Chapple's team recommended Jerry's and I am so glad they did.  After speaking...,5,2020-12-18 11:36:57
NzdiEprmsKLKyiX2c6jTEA,M R.,"Jerry's Florist delivered a sweet sympathy bouquet from a friend. If you're searching for a floral delivery during the Coronavirus pandemic, give them a call.",4,2020-07-24 07:54:23
NzdiEprmsKLKyiX2c6jTEA,Yvonne K.,I can't say enough about the service I recieved from Jerry's Flower and Gifts.  I reached out to them for a delivery during this crazy Covid19 situation. I...,5,2020-03-27 21:04:07
6EkH2z4qSGe71HzFWuSJqw,Pam B.,"I worked with Cynthia to send an arrangement to a friend and work colleague who is ill.  After my initial phone call, Cynthia responded almost immediately...",5,2021-01-11 11:51:02
6EkH2z4qSGe71HzFWuSJqw,M R.,"After my sister passed away unexpectedly, a friend called multiple florists trying to send flowers to me. Due to the Coronavirus pandemic, some florists had...",5,2020-07-24 07:49:12
6EkH2z4qSGe71HzFWuSJqw,Charlie W.,Cynthia is such an amazing florist and person. I had a last minute floral arrangement that I wanted done on Christmas Eve day and I fully believed I would...,5,2020-12-26 15:29:44
ckNBrg4msHdgS8YzzObNYQ,Storm F.,He is a VERY talented stylist. His work speaks for itself. This is who you want working with you and making your occasion the very best it can be. I wish I...,5,2019-02-14 17:49:19
B2cD-fbePBx3MKBkIOk0yA,Katie A.,"Pretty decent store. I put Giant above Safeway, but the lower than Harris Teeter. However, if you shop there sales, their prices are pretty good. 

Their...",3,2019-11-12 05:44:31
B2cD-fbePBx3MKBkIOk0yA,Matt B.,Check out these cookies at the bakery awesome the cakes and cookies look amazing it's hard to resist the temptation,5,2020-12-19 09:55:25
